TietoEVRY Oyj,TIETOS,,,,,,,,,
Millicom International Cellula,TIGO-SDB,,,,,,,,,
Trelleborg AB ser. B,TREL-B,,,,,,,,,
Troax Group AB,TROAX,,,,,,,,,
Truecaller AB ser. B,TRUE-B,,,,,,,,,
Vitec Software Group AB ser. B,VIT-B,,,,,,,,,
Vitrolife AB,VITR,,,,,,,,,
Volvo Car AB ser. B,VOLCAR-B,,,,,,,,,
"Volvo, AB ser. A",VOLV-A,,,,,,,,,
"Volvo, AB ser. B",VOLV-B,,,,,,,,,
Wallenstam AB ser. B,WALL-B,,,,,,,,,
Wihlborgs Fastigheter AB,WIHL,,,,,,,,,
,,,,,,,,,,
